mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	diminuendo_line	HairPin:3_decresc.
9	8	31/2	31/2	1.5		1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	68										
9	8	15	15	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	69										
9	8	16	16	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	70										
10	9	17	17	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	71		articStaccatoAbove								
10	9	35/2	35/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	72		articStaccatoAbove								
10	9	18	18	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	73										
10	9	17	17	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	74										
10	9	18	18	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	75										
10	9	17	17	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	76										
10	9	18	18	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	77										
11	10	19	19	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	78										
11	10	20	20	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	79								5		
11	10	41/2	41/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	80								5		
11	10	19	19	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	81										
11	10	20	20	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	82										
11	10	19	19	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	83										
11	10	20	20	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	84										
12	11	21	21	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	85								5		
12	11	43/2	43/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	86								5		
12	11	87/4	87/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	87								5		
12	11	22	22	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	88								5		
12	11	45/2	45/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	89								5		
12	11	21	21	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	90										
12	11	22	22	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	91										
12	11	21	21	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	92										
12	11	22	22	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	93										
